id;criteria
1;Указание масштаба (на каждом чертеже!).
2;Главный вид в сборе и всех деталей   - в рабочем положении (как на изделии), а не иным любым образом.
3;Маркировка всех деталей (каждая имеет имя на листе, где ее изобразили).
4;Ссылка на сборочном чертеже на детали, четко указывающая где (на каком листе) искать ту или иную деталь.
5;Наличие всех внешних габаритов в сборе, в том числе флаг/ось,  и для отдельных деталей (радиус даже у шара не является его габаритом, габарит шара - диаметр).
6;Наличие внутренних габаритов, достаточных для изготовления.
7;Показ мест расположения осей всех отверстий.
8;Подбор артикула детали №6 (регулировочный винт) обоснованной формы, размера, материала.
9;Подбор артикула детали №7 (стопорный винт) обоснованной формы, размера, материала.
10;Подбор подходящих материалов для деталей №1-5.
11;Легенда – образец штриховки и наименование материала, обозначение этого материала на всех листах, где он используется, соответствующей штриховкой.
12;Работа петли геометрически по плоскостям приварки (учесть тот факт, что в изделии полотно и рама двери находятся в одной плоскости).
13;Работа петли геометрически по скольжению (учет зазоров: в изделии всего два зазора 1 мм и 0.1 мм – подумать и расставить их верно).
14;Правильность размещения видов и разрезов по осям и по плоскостям (думать о расположении прочих видов относительно главного!).
15;Правильность обозначений ЕСКД шероховатости (для рабочих поверхностей указать  12 класс для новой детали).
16;Правильность обозначений ЕСКД фасок, включая отверстия.
17;Правильность обозначений ЕСКД резьб с учётом шага.
18;Не пересечение размерных линий.
19;Адаптация под лист А4 в масштабе (рациональный выбор масштаба, заполнение листа информацией, включая адаптированные для печати на принтере если есть рамки и тексты).
20;Читаемые толщины линий (использовать строго - размерные 0,09, основные разных планов 0,15-0,3), высота цифр при указании размер 2,5мм, цвет линий и текстов – строго черный.
